older,newer,time_interval_day,vx,vy
20180715,20180723,8,0.007908217105239562,0.006640405287665943
20191016,20191024,8,0.007946632411003738,0.007468737809077138
20200826,20200903,8,0.005727388210546815,0.006728930216061399
20180804,20180820,16,0.006855838095288838,0.0081248818008918
20190620,20190706,16,0.005370892081470883,0.008777351516475738
20200823,20200908,16,0.004952561009314319,0.006144581186666298
